id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
51,kousen_questjpa,7,7,231,231,33,33,96,96,96,96,6,6,maven,true,open source,1203,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
52,koushikkothagal_ipl-dashboard,7,7,258,258,25,25,106,106,112,112,15,15,maven,true,open source,1440,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
53,koushikkothagal_spring-boot-security,3,3,226,226,17,17,71,71,110,110,28,28,maven,true,open source,1016,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
54,kriscfoster_spring-boot-testing-pyramid,2,2,128,128,13,13,54,54,52,52,9,9,maven,true,open source,535,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
57,lyubenblagoev_postfix-rest-server,9,8,309,302,28,28,103,98,135,133,43,43,maven,true,open source,1485,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
58,maciejwalkowiak_paseq-maven-plugin,7,1,28,1,2,0,11,0,13,1,2,0,maven,true,open source,163,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,7,0,0,0
59,mariamihai_spring-security-amigoscode-tutorial,5,5,260,225,23,23,91,92,119,86,27,24,maven,true,open source,1168,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,1,0,0
60,markbdsouza_hateoas-with-pagination,5,5,238,238,29,29,87,87,106,106,16,16,maven,true,open source,1033,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
61,martinachov_hexagonal-architecture-ddd-springboot,6,6,160,88,23,24,64,28,66,31,7,5,maven,true,open source,605,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
62,max-jang_korea-music-chart-api,4,4,162,162,15,15,70,70,66,66,11,11,maven,true,open source,820,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
63,meteergin_medium-java-streams,2,2,65,65,9,9,30,30,24,24,2,2,maven,true,open source,545,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
64,micw_tibber-pulse-reader,5,3,33,25,4,4,18,11,10,10,1,0,maven,true,open source,389,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
65,MikeAScott_spring-todo-list,7,7,265,265,24,24,102,102,114,114,25,25,maven,true,open source,1831,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
66,milpol_gorilla4j,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,85,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
67,mmarcosab_rabbitmq-example,6,6,262,262,25,25,114,114,107,107,16,16,maven,true,open source,1469,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
68,mohaghighi_Covid19-Web-Application,6,6,218,218,20,20,92,92,90,90,16,16,maven,true,open source,1372,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
69,Mozenn_spring-boot-hibernate-search,6,5,183,182,23,23,67,67,79,78,14,14,maven,true,open source,1249,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
70,MrGraversen_minecraft-rcon,5,0,11,0,1,0,8,0,1,0,1,0,maven,true,open source,160,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,1,0,0
71,MSmirnov2407_Filmorate,6,6,156,156,23,23,64,64,63,63,6,6,maven,true,open source,1203,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
73,olein_Java-AWS-RnD,3,3,152,96,19,21,57,27,66,40,10,8,maven,true,open source,513,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
74,OmarAlHaj24_OnDriver,4,4,151,113,17,18,54,42,68,48,12,5,maven,true,open source,1048,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,3,0,0
75,Online-Job-Portal-CG_Backend,9,8,289,188,31,29,125,67,113,80,20,12,maven,true,open source,1259,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,6,0,0,0,0
76,ozifirebrand_printHia,8,3,203,27,23,3,72,10,91,11,17,3,maven,true,open source,649,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,1,0,0
77,paneladev_agenda-service,12,12,340,230,35,35,138,90,136,86,31,19,maven,true,open source,2012,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,1,0,0,0
78,ProgrammerZamanNow_belajar-jenkins-pipeline,2,2,65,65,9,9,30,30,24,24,2,2,maven,true,open source,620,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
79,ProgrammerZamanNow_belajar-spring-dasar,2,2,65,65,9,9,30,30,24,24,2,2,maven,true,open source,604,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
80,raffoulRicardo_movimento-qa-2023,5,5,159,159,20,20,56,56,74,74,9,9,maven,true,open source,1065,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
81,rahul26021999_QrCode-JavaSpringBoot,4,4,185,52,20,12,73,12,73,19,19,9,maven,true,open source,415,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
82,RaisaRS_java-filmorate,6,6,158,158,23,23,63,63,67,67,5,5,maven,true,open source,1138,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
83,raviyasas_sample-room,7,7,235,235,25,25,95,95,98,98,17,17,maven,true,open source,1489,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
