id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
41,eh3rrera_graphql-java-spring-boot-example,13,12,521,480,53,50,195,177,220,202,53,51,maven,true,open source,1865,6e03098cd329a705ffd9e62211216034cee2ae4d,improvement,11,1,1,0,0,0
42,eh3rrera_graphql-java-spring-boot-example,13,12,521,480,53,50,195,177,220,202,53,51,maven,true,open source,1543,6e03098cd329a705ffd9e62211216034cee2ae4d,improvement,11,1,1,0,0,0
43,ErgunAhmet_DataJpaYt,5,1,166,12,18,1,66,7,68,3,14,1,maven,true,open source,161,e6730e947915d3708539a884fd101ee2b9d8cf95,improvement,11,4,0,0,0,0
44,ErgunAhmet_DataJpaYt,5,1,166,12,18,1,66,7,68,3,14,1,maven,true,open source,165,e6730e947915d3708539a884fd101ee2b9d8cf95,improvement,11,4,0,0,0,0
45,fatihhernn_spring-boot-ecommerce,4,1,168,1,17,0,70,0,70,1,11,0,maven,true,open source,161,6fad5f5ed343f7611e356f1be7a51dfcacc12ba5,improvement,11,3,0,1,0,0
46,fatihhernn_spring-boot-ecommerce,4,1,168,1,17,0,70,0,70,1,11,0,maven,true,open source,170,6fad5f5ed343f7611e356f1be7a51dfcacc12ba5,improvement,11,3,0,1,0,0
47,FENGYU-008_ERP,7,7,212,160,26,25,82,53,89,70,15,12,maven,true,open source,996,2615f7f5e1ef1c2d2a4db25103553db454b75f08,improvement,11,4,0,1,0,0
48,FENGYU-008_ERP,7,7,212,160,26,25,82,53,89,70,15,12,maven,true,open source,888,2615f7f5e1ef1c2d2a4db25103553db454b75f08,improvement,11,4,0,1,0,0
49,fireinrain_javbus-telegram-bot,8,2,24,6,3,1,11,3,10,2,0,0,maven,true,open source,216,ac2b7068b47fc9f29e7095e48c42705f8e888299,improvement,11,0,6,1,0,0
50,fireinrain_javbus-telegram-bot,8,2,24,6,3,1,11,3,10,2,0,0,maven,true,open source,228,ac2b7068b47fc9f29e7095e48c42705f8e888299,improvement,11,0,6,1,0,0
51,folksdev_movie-api,12,10,360,339,35,35,145,136,151,142,29,26,maven,true,open source,2020,55e3bdde35c24cafa6b4909c7533a3a88bc56847,improvement,11,0,3,0,0,0
52,francoiducat_springboot-minimal-graphql-client,4,1,232,21,23,1,94,10,100,10,15,0,maven,true,open source,152,7be8026e3771e00b4c093e8541b23bfe1b7f6825,improvement,11,4,0,0,0,0
53,gabrieldim_CSV-Export-Spring-Boot,3,0,159,0,17,0,62,0,62,0,18,0,maven,true,open source,120,ad29168dcb92be54366638ab4f6642719df22182,improvement,11,3,0,0,0,0
54,gabrieldim_Email-Sender-Spring-Boot,3,3,153,112,17,18,63,43,62,46,11,5,maven,true,open source,833,c838c67abd09b80ae1baed9cc02286701efcacc2,improvement,11,0,2,1,0,0
55,gabrieldim_PDF-Generator-Spring-Boot,2,2,123,123,14,14,48,48,51,51,10,10,maven,true,open source,586,6155696414aa1f95e1c0e81a2452adb47036e42e,no improvement,11,0,0,0,0,0
56,gavinklfong_spring-investment-platform,6,5,332,193,34,29,146,86,141,76,11,2,maven,true,open source,908,65e10735e48b67539e3afc1100c035497b955628,improvement,11,2,3,0,0,0
57,gavinklfong_spring-investment-platform,6,5,332,193,34,29,146,86,141,76,11,2,maven,true,open source,830,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,3,0,0,0
58,GCS-ZHN_movie-on-server,3,2,105,79,14,10,39,28,46,35,6,6,maven,true,open source,362,00d3c5a1c966234a5a2ffed4de30c06662c27d19,improvement,11,1,0,0,0,0
59,GCS-ZHN_movie-on-server,3,2,105,79,14,10,39,28,46,35,6,6,maven,true,open source,321,00d3c5a1c966234a5a2ffed4de30c06662c27d19,improvement,11,1,0,0,0,0
60,GSMgeeth_medium-coffeeshop-sample,5,5,165,165,20,20,61,61,69,69,15,15,maven,true,open source,885,07861f456182e3319843cda51946973dbfffd306,no improvement,11,0,0,0,0,0
61,GuillaumeFalourd_java-training-api,7,7,237,237,24,24,101,101,96,96,16,16,maven,true,open source,1370,e26035fb70646a3ff5a6bf6496a3ccd7be3dd509,no improvement,11,0,0,0,0,0
62,hamitmizrak_AllSpringBlogProject,14,9,461,333,35,28,151,104,207,144,68,57,maven,true,open source,1343,c3ea07418b3a3b5422deee610ce769137d0f25c2,improvement,11,6,1,1,0,0
63,hamitmizrak_SpringMvcSpringDataSpringRest,11,3,341,73,33,6,123,30,149,28,36,9,maven,true,open source,548,d121a7ffb300f8875c9a2225e5134f51a708d298,improvement,11,8,1,1,0,0
64,hannotify_eleven-crazy-java-things,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,75,df317204fbfc57b0e7198ce9d10eda7249247954,improvement,11,0,1,0,0,0
65,hhimanshu_spring-boot-liquibase,5,0,163,0,17,0,67,0,66,0,13,0,maven,true,open source,162,7edcf62c7b0fdf29c48e4927136dab98cf51f90a,improvement,11,5,0,0,0,0
66,innoq_cookie-based-session-springboot-app,5,0,214,0,19,0,87,0,84,0,24,0,maven,true,open source,145,91cd6b4649467206c692e73d7bf3caecca5e5d58,improvement,11,5,0,0,0,0
67,itsecurityco_CVE-2022-22965,3,0,148,0,19,0,48,0,67,0,14,0,maven,true,open source,132,1f2a33b76d011c1ebe5c86aba33baa1b72303eec,improvement,11,3,0,0,0,0
68,ivanjakimovski_spring-boot-pdf-generator,2,1,125,91,14,10,49,33,52,39,10,9,maven,true,open source,443,7011588f334175847a94d645ad0ba52cb2ed33c9,improvement,11,1,0,0,0,0
69,iwamih31_AccountBook,9,2,206,8,27,1,79,0,88,4,12,3,maven,true,open source,294,583257d018ddd1fd66a6bbd754ede1286a0ab9bc,improvement,11,7,1,0,0,0
70,janlely_jparser,1,0,1,0,0,0,1,0,0,0,0,0,maven,true,open source,145,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
71,janlely_jparser,1,0,1,0,0,0,1,0,0,0,0,0,maven,true,open source,145,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
72,jeonjeunghoon_Kculter,11,10,477,253,24,18,120,86,243,123,90,26,maven,true,open source,777,2348d13cc976d4178fd2b070ca7d86c611ecd96a,improvement,11,3,1,1,0,0
73,jonashackt_spring-boot-buildpack,2,1,91,21,12,1,40,10,38,10,1,0,maven,true,open source,119,b6ae8f276d9fc6695b53299ebf44898c85fb4765,improvement,11,2,0,0,0,0
74,jsalonl_interceptor-springboot,4,4,143,139,18,18,57,56,60,58,8,7,maven,true,open source,528,ca197f6aa22c128bbdcba6257a86a5ed99913057,improvement,11,0,1,0,0,0
75,juliengalet_reactor-flow,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,135,c1475604b3a2dc5cb365722880f409b95c6d28a2,improvement,11,0,1,0,0,0
76,kanajin_Aqua-docker,11,5,275,165,28,21,105,60,118,68,24,16,maven,true,open source,1240,70305f2759e818288b27090ccfd935e59e114a4a,improvement,11,2,2,2,0,0
77,Katibat_java-filmorate,6,3,157,129,20,17,59,48,71,58,7,6,maven,true,open source,857,9945c2a0d8d3e01583ec1e7d65a21768b476b546,improvement,11,1,2,0,0,0
78,kiberohrannik_webflux-log,4,3,200,115,24,15,83,42,84,54,9,4,maven,true,open source,698,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
79,kiberohrannik_webflux-log,4,3,200,115,24,15,83,42,84,54,9,4,maven,true,open source,698,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
80,kousen_questjpa,7,1,214,21,30,1,87,10,91,10,6,0,maven,true,open source,209,924349984a8ce6513728625ec6f9a4ace79520ba,improvement,11,6,1,0,0,0
81,koushikkothagal_ipl-dashboard,7,0,237,0,22,0,95,0,105,0,15,0,maven,true,open source,181,9f8ba217b4a6f9b88a3c22d8a19496677bbba4b5,improvement,11,6,1,0,0,0
82,koushikkothagal_spring-boot-security,3,0,218,0,15,0,66,0,109,0,28,0,maven,true,open source,141,3ae9cfb938287dbadcbfb50864e18fd98c3a5d6e,improvement,11,3,0,0,0,0
83,kriscfoster_spring-boot-testing-pyramid,2,0,119,0,12,0,49,0,49,0,9,0,maven,true,open source,124,84ff13a5f20c2a3d2ceaaa6040a8a4c6707e0f3e,improvement,11,2,0,0,0,0
84,kyungseo_project-web-starter,39,32,777,559,65,51,300,216,335,241,77,51,maven,true,open source,3244,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,7,1,0,0
86,kyungseo_project-web-starter,40,32,778,559,65,51,301,216,335,241,77,51,maven,true,open source,2943,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,7,1,0,0
86,liuhongdi_ratelimiter,8,7,288,277,20,20,99,93,135,131,34,33,maven,true,open source,1983,7efa3c85e233cc70600fd82953423734f0f4788b,improvement,11,0,2,0,0,0
87,lyubenblagoev_postfix-rest-server,9,9,294,294,24,24,95,95,132,132,43,43,maven,true,open source,1335,2af8b04975523b4d583a3c6ef058fbb47650f8d2,no improvement,11,0,0,0,0,0
88,maciejwalkowiak_paseq-maven-plugin,7,1,28,1,2,0,11,0,13,1,2,0,maven,true,open source,646,9cd0293f3a82b88fc025d6fa18715063d3776422,improvement,11,0,7,0,0,0
89,mariamihai_spring-security-amigoscode-tutorial,5,4,246,174,20,16,83,67,116,68,27,23,maven,true,open source,835,a23eeb4c60e26d0d33e4f72fa1b85ef74b6bdcff,improvement,11,1,1,1,0,0
90,markbdsouza_hateoas-with-pagination,5,1,220,1,27,0,77,0,100,1,16,0,maven,true,open source,177,7e6d9e38a861ff3ee5e00a3b2753b847358434c8,improvement,11,5,0,0,0,0
91,martinachov_hexagonal-architecture-ddd-springboot,6,6,149,79,20,21,59,25,63,28,7,5,maven,true,open source,573,1f0910c9f946b716b7c4c8abb925d28436f79aed,improvement,11,4,0,0,0,0
92,max-jang_korea-music-chart-api,4,4,153,153,14,14,65,65,63,63,11,11,maven,true,open source,853,60aa4e21dc248c0a0c4e270c3cce2a8d6aa4f8d9,no improvement,11,0,0,0,0,0
93,max-jang_korea-music-chart-api,4,4,153,153,14,14,65,65,63,63,11,11,maven,true,open source,673,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
94,meteergin_medium-java-streams,2,0,63,0,7,0,30,0,24,0,2,0,maven,true,open source,111,9a04a0e792d644bbde0ffa0e78d08ebe423521fd,improvement,11,2,0,0,0,0
95,meteergin_medium-java-streams,2,0,63,0,7,0,30,0,24,0,2,0,maven,true,open source,117,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,0,0,0,0
96,micw_tibber-pulse-reader,5,2,31,23,3,3,18,11,10,9,0,0,maven,true,open source,398,73247a11586f93787294ce33b35a11f305f17a36,improvement,11,0,1,1,0,0
