id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
197,SysObligatoriskOpgave22_BackendWebApp,7,6,214,196,21,21,79,76,98,86,16,13,maven,true,open source,1178,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,1,0,0
198,SysObligatoriskOpgave22_BackendWebApp,7,6,214,196,21,21,79,76,98,86,16,13,maven,true,open source,1105,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,1,0,0
199,szerhusenBC_jwt-spring-security-demo,8,8,349,349,20,20,99,99,180,180,50,50,maven,true,open source,2421,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
200,szerhusenBC_jwt-spring-security-demo,8,8,349,349,20,20,99,99,180,180,50,50,maven,true,open source,2244,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
201,ValentinaBuddha_java-filmorate,5,5,149,149,20,20,61,61,62,62,6,6,maven,true,open source,982,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
202,ValentinaBuddha_java-filmorate,5,5,149,149,20,20,61,61,62,62,6,6,maven,true,open source,845,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
203,Victor-Borisov_java-filmorate,6,6,176,176,23,23,71,71,76,76,6,6,maven,true,open source,1012,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
204,Victor-Borisov_java-filmorate,6,6,176,176,23,23,71,71,76,76,6,6,maven,true,open source,979,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
205,wdrammeh_utg-student-dashboard,2,2,98,42,8,4,58,24,29,13,3,1,maven,true,open source,705,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
206,wdrammeh_utg-student-dashboard,2,2,98,42,8,4,58,24,29,13,3,1,maven,true,open source,508,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
207,WoMakersCode_bootcamp-java-starwars-restapi,8,7,213,145,18,19,88,56,86,57,21,13,maven,true,open source,607,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,1,0,0,0
208,WoMakersCode_bootcamp-java-starwars-restapi,8,7,213,145,18,19,88,56,86,57,21,13,maven,true,open source,514,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,1,0,0,0
209,xxuzhengg_eastmoney,5,4,215,203,20,20,88,83,88,81,19,19,maven,true,open source,1148,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
210,xxuzhengg_eastmoney,5,4,215,203,20,20,88,83,88,81,19,19,maven,true,open source,1048,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
211,yoandypv_todo-api,6,6,263,125,22,18,80,44,124,54,37,9,maven,true,open source,653,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,1,0,0,0
212,yoandypv_todo-api,6,6,263,125,22,18,80,44,124,54,37,9,maven,true,open source,583,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,1,0,0,0
213,Youngerjesus_refactoring-2nd-edition,2,2,63,63,7,7,30,30,24,24,2,2,maven,true,open source,587,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
214,Youngerjesus_refactoring-2nd-edition,2,2,63,63,7,7,30,30,24,24,2,2,maven,true,open source,498,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
