id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
6,aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,6,6,144,136,1,1,35,32,88,83,20,20,maven,true,open source,2219,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
7,basquiat78_interface-bbuljit,2,2,112,112,15,15,43,43,48,48,6,6,maven,true,open source,528,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
8,bulinha_residencia-serratec-music-manager-api,10,10,305,257,31,30,105,76,137,120,32,31,maven,true,open source,1343,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
9,bykowski_invoice-spring-mvc-example,4,4,170,170,20,20,60,60,72,72,18,18,maven,true,open source,1065,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
10,code-it-team_gotcha-be,14,10,528,315,39,24,179,111,237,138,73,42,maven,true,open source,2001,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,1,0,0,0
11,cxzero_CVE-2022-42889-text4shell,3,2,111,109,15,15,44,43,45,45,7,6,maven,true,open source,565,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
12,DevUpgrade-online_season-2,8,4,240,90,24,9,100,38,96,34,20,9,maven,true,open source,1008,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,1,0,0
13,dr-mod_tidy-flappy-bird,1,1,13,2,0,0,3,0,7,2,3,0,maven,true,open source,107,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
14,eBay_digital-signature-verification-ebay-api,7,4,127,98,15,10,56,44,50,38,6,6,maven,true,open source,457,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,1,0,0
15,eh3rrera_graphql-java-spring-boot-example,13,11,551,401,56,48,212,149,230,170,53,34,maven,true,open source,2783,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
16,ErgunAhmet_DataJpaYt,5,5,176,176,20,20,71,71,71,71,14,14,maven,true,open source,1104,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
17,fatihhernn_spring-boot-ecommerce,4,4,178,178,19,19,75,75,73,73,11,11,maven,true,open source,963,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
18,FENGYU-008_ERP,7,7,224,101,30,19,87,32,92,37,15,13,maven,true,open source,779,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,1,0,0
19,fireinrain_javbus-telegram-bot,8,3,34,11,4,1,16,6,14,4,0,0,maven,true,open source,300,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,6,1,0,0
20,folksdev_movie-api,12,10,389,368,38,38,161,152,161,152,29,26,maven,true,open source,2858,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,3,0,0,0
21,francoiducat_springboot-minimal-graphql-client,4,4,247,247,25,25,102,102,105,105,15,15,maven,true,open source,1256,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
22,gabrieldim_CSV-Export-Spring-Boot,3,3,169,169,19,19,67,67,65,65,18,18,maven,true,open source,811,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
23,gabrieldim_Email-Sender-Spring-Boot,3,0,163,0,19,0,68,0,65,0,11,0,maven,true,open source,134,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
24,gabrieldim_PDF-Generator-Spring-Boot,2,2,132,132,15,15,53,53,54,54,10,10,maven,true,open source,653,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
25,gavinklfong_spring-investment-platform,6,5,351,214,36,28,157,100,147,83,11,3,maven,true,open source,1063,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,2,0,0,0
26,GCS-ZHN_movie-on-server,3,3,114,114,15,15,44,44,49,49,6,6,maven,true,open source,639,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
27,GSMgeeth_medium-coffeeshop-sample,5,5,182,180,22,22,71,71,74,72,15,15,maven,true,open source,925,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
28,GuillaumeFalourd_java-training-api,7,7,249,249,28,28,106,106,99,99,16,16,maven,true,open source,1706,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
29,hamitmizrak_AllSpringBlogProject,14,13,490,440,41,41,167,148,214,188,68,63,maven,true,open source,2209,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,1,1,0,0
30,hamitmizrak_SpringMvcSpringDataSpringRest,11,11,366,354,39,39,135,133,156,149,36,33,maven,true,open source,1943,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
31,hannotify_eleven-crazy-java-things,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,66,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
32,hhimanshu_spring-boot-liquibase,5,5,174,174,20,20,72,72,69,69,13,13,maven,true,open source,997,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
33,innoq_cookie-based-session-springboot-app,5,5,226,226,22,22,93,93,87,87,24,24,maven,true,open source,1275,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
34,itsecurityco_CVE-2022-22965,3,3,159,159,19,19,55,55,71,71,14,14,maven,true,open source,626,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
35,ivanjakimovski_spring-boot-pdf-generator,2,2,134,134,15,15,54,54,55,55,10,10,maven,true,open source,623,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
36,iwamih31_AccountBook,9,1,224,1,32,0,87,0,93,1,12,0,maven,true,open source,1923,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,1,0,0,0
37,janlely_jparser,1,0,1,0,0,0,1,0,0,0,0,0,maven,true,open source,101,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
38,jeonjeunghoon_Kculter,11,10,500,284,27,22,135,103,248,133,90,26,maven,true,open source,817,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,1,1,0,0
39,jonashackt_spring-boot-buildpack,2,2,98,98,13,13,44,44,40,40,1,1,maven,true,open source,446,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
40,jsalonl_interceptor-springboot,4,4,157,153,19,19,65,64,65,63,8,7,maven,true,open source,642,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
41,juliengalet_reactor-flow,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,93,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
43,Katibat_java-filmorate,6,4,168,163,23,23,64,63,74,71,7,6,maven,true,open source,1053,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,0,0,0
45,kousen_questjpa,7,7,231,231,33,33,96,96,96,96,6,6,maven,true,open source,1057,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
46,koushikkothagal_ipl-dashboard,7,7,258,258,25,25,106,106,112,112,15,15,maven,true,open source,1377,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
48,kriscfoster_spring-boot-testing-pyramid,2,2,128,128,13,13,54,54,52,52,9,9,maven,true,open source,489,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
50,liuhongdi_ratelimiter,8,7,301,290,23,23,106,100,138,134,34,33,maven,true,open source,2235,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,0,0,0
51,lyubenblagoev_postfix-rest-server,9,8,309,302,28,28,103,98,135,133,43,43,maven,true,open source,1427,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
52,maciejwalkowiak_paseq-maven-plugin,7,1,28,1,2,0,11,0,13,1,2,0,maven,true,open source,166,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,7,0,0,0
53,mariamihai_spring-security-amigoscode-tutorial,5,5,260,225,23,23,91,92,119,86,27,24,maven,true,open source,1128,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,1,0,0
54,markbdsouza_hateoas-with-pagination,5,5,238,238,29,29,87,87,106,106,16,16,maven,true,open source,1007,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
55,martinachov_hexagonal-architecture-ddd-springboot,6,6,160,88,23,24,64,28,66,31,7,5,maven,true,open source,604,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
56,max-jang_korea-music-chart-api,4,4,162,162,15,15,70,70,66,66,11,11,maven,true,open source,767,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
57,meteergin_medium-java-streams,2,2,65,65,9,9,30,30,24,24,2,2,maven,true,open source,551,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
58,micw_tibber-pulse-reader,5,3,33,25,4,4,18,11,10,10,1,0,maven,true,open source,344,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
3,milpol_gorilla4j,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,82,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
3,MikeAScott_spring-todo-list,7,7,265,265,24,24,102,102,114,114,25,25,maven,true,open source,1917,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
2,mohaghighi_Covid19-Web-Application,6,6,218,218,20,20,92,92,90,90,16,16,maven,true,open source,1647,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
4,MrGraversen_minecraft-rcon,5,0,11,0,1,0,8,0,1,0,1,0,maven,true,open source,141,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,1,0,0
5,MSmirnov2407_Filmorate,6,6,156,156,23,23,64,64,63,63,6,6,maven,true,open source,1080,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
6,NO-ob_LoliSnatcher,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,839,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,1,0,0,0
7,olein_Java-AWS-RnD,3,3,152,96,19,21,57,27,66,40,10,8,maven,true,open source,476,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
9,Online-Job-Portal-CG_Backend,9,8,289,188,31,29,125,67,113,80,20,12,maven,true,open source,1159,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,6,0,0,0,0
10,ozifirebrand_printHia,8,3,203,27,23,3,72,10,91,11,17,3,maven,true,open source,611,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,1,0,0
11,paneladev_agenda-service,12,12,340,230,35,35,138,90,136,86,31,19,maven,true,open source,1799,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,1,0,0,0
