id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata,Repo URL
1087,kyungseo_project-web-starter,39,28,694,486,58,45,271,192,303,212,62,37,maven,False,open source,2569,5bd174e1e3a0572e773e5a28a1a22b98d50fd7d6,improvement,11.0,9,7,2,0,0,https://github.com/kyungseo/project-web-starter
1097,sfmohassel_spring-boot-mongodb-docker-compose-starter,5,1,177,1,16,0,80,0,70,1,11,0,maven,False,open source,124,20d38d2a4b65a5c41fc78d15a180f1148abc4d63,improvement,11.0,4,1,0,0,0,https://github.com/sfmohassel/spring-boot-mongodb-docker-compose-starter
1099,jochenchrist_spring-boot-access-logs-demo,4,4,169,81,13,8,53,33,86,35,17,5,maven,False,open source,652,23ecd7ac4fe9eb10be0abdbbe33b0de0df369e46,improvement,11.0,1,0,0,0,0,https://github.com/jochenchrist/spring-boot-access-logs-demo
101,oldfr_authentication-server,4,4,142,117,16,16,52,52,72,47,2,2,maven,False,open source,601,5389a12c5134cf017594b3051c7db9313c195c56,improvement,11.0,0,1,0,0,0,https://github.com/oldfr/authentication-server
124,devsuperior_aula-20210511,4,0,136,0,13,0,58,0,55,0,10,0,maven,False,open source,145,46e9749de15a0b7881d3858f19620fd8e262604c,improvement,11.0,4,0,0,0,0,https://github.com/devsuperior/aula-20210511
141,TechPrimers_ratelimiter-example,4,4,123,123,14,14,60,60,48,48,1,1,maven,False,open source,607,318d87e4998d462eebad19e8acf1cab530245eaf,no improvement,11.0,0,0,0,0,0,https://github.com/TechPrimers/ratelimiter-example
142,mohamedYoussfi_kafka-spring-cloud-stream,8,8,242,242,24,24,101,101,108,108,9,9,maven,False,open source,753,1252417ad1370f53255a9f29e3af562ae8e6dbdf,no improvement,11.0,0,0,0,0,0,https://github.com/mohamedYoussfi/kafka-spring-cloud-stream
153,ashrawan_apache-poi-chart-sample,4,2,64,50,7,7,27,22,28,20,2,1,maven,False,open source,722,91ab300e227c2322184985ebe77db1ab5ef96370,improvement,11.0,0,3,0,0,0,https://github.com/ashrawan/apache-poi-chart-sample
162,xiangfangsong_Java_springboot_demo,5,4,148,83,13,10,63,30,63,39,9,4,maven,False,open source,631,151f5c64b8e5e8e935d13868c9b06ea23cd7dc3a,improvement,11.0,2,0,0,0,0,https://github.com/xiangfangsong/Java_springboot_demo
164,SelimHorri_embedded-mongo-playing-with-spring-boot,5,4,154,21,15,6,66,7,63,8,10,0,maven,False,open source,361,07a8dadeabbe03e5bd165aef16480fdf0929324e,improvement,11.0,5,0,0,0,0,https://github.com/SelimHorri/embedded-mongo-playing-with-spring-boot
171,creativityFactory_SwiftServe,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,62,6e8a4bc7f0db2b9a9b4c3e25e136fcc5c4568507,no improvement,11.0,0,0,0,0,0,https://github.com/creativityFactory/SwiftServe
167,awslabs_real-time-vectorization-of-streaming-data,15,6,80,24,4,0,46,11,30,13,0,0,maven,False,open source,1737,195b1e57ead7dbe8f32b1498a5030b31355052e6,improvement,11.0,2,10,1,0,0,https://github.com/awslabs/real-time-vectorization-of-streaming-data
170,jsalonl_interceptor-springboot,4,4,115,111,13,13,49,48,48,46,5,4,maven,False,open source,708,ca197f6aa22c128bbdcba6257a86a5ed99913057,improvement,11.0,0,1,0,0,0,https://github.com/jsalonl/interceptor-springboot
198,GSMgeeth_medium-coffeeshop-sample,5,5,139,137,15,15,55,55,59,57,10,10,maven,False,open source,981,07861f456182e3319843cda51946973dbfffd306,improvement,11.0,0,1,0,0,0,https://github.com/GSMgeeth/medium-coffeeshop-sample
248,yoandypv_spring-boot-rabbit-mq,4,0,125,0,15,0,51,0,55,0,4,0,maven,False,open source,120,20197ae9d4d521e4ba15a49cd3f5486d84c84a1b,improvement,11.0,4,0,0,0,0,https://github.com/yoandypv/spring-boot-rabbit-mq
273,KarthikKavinA_fabric-idemix-identity-demo,19,9,138,46,16,4,71,29,49,13,2,0,maven,False,open source,590,c063755af0bec4292850280a31e3aca48d8ef045,improvement,11.0,2,4,4,0,0,https://github.com/KarthikKavinA/fabric-idemix-identity-demo
283,oldfr_first_microservice,4,2,139,29,20,6,61,14,56,9,2,0,maven,False,open source,261,da1c354a6b4e1cbc3e0d6a6b793bb18dbc0b7c1a,improvement,11.0,3,0,0,0,0,https://github.com/oldfr/first_microservice
