project,coverage,details,mode,status
s1ck_gdl,93.93,maven_returncode=0,nativo+kex+evosuite,success
sashinpivotal_spring-boot-tdd,95.98,maven_returncode=0,nativo+kex+evosuite,success
sayan-d99_Spring-Security-JWT-Authentication,46.55,maven_returncode=0,nativo+kex+evosuite,success
schauder_talk-beyond,78.25,maven_returncode=0,nativo+kex+evosuite,success
SelimHorri_embedded-mongo-playing-with-spring-boot,50.51,maven_returncode=0,nativo+kex+evosuite,success
SelimHorri_hr-management-system,51.37,maven_returncode=0,nativo+kex+evosuite,success
simplyi_NewSpringAuthorizationServer,84.57,maven_returncode=0,nativo+kex+evosuite,success
souris-dev_samosac-jvm,30.63,maven_returncode=0,nativo+kex+evosuite,success
strategyengine_fsedistributionservice,42.88,maven_returncode=0,nativo+kex+evosuite,success
supaldubey_blog-server,65.26,maven_returncode=0,nativo+kex+evosuite,success
syqu22_spring-boot-shop-sample,0.0,maven_returncode=0,nativo+kex+evosuite,success
szerhusenBC_jwt-spring-security-demo,0.0,maven_returncode=0,nativo+kex+evosuite,success
tuomount_Open-Realms-of-Stars,51.34,maven_returncode=0,nativo+kex+evosuite,success
Victor-Borisov_java-filmorate,67.3,maven_returncode=0,nativo+kex+evosuite,success
wdrammeh_utg-student-dashboard,22.24,maven_returncode=0,nativo+kex+evosuite,success
WoMakersCode_bootcamp-java-starwars-restapi,40.0,maven_returncode=0,nativo+kex+evosuite,success
Xpectuer_miniJuliaSonar,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
