project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
GCS-ZHN_movie-on-server,kex,0.0,0.0,292,292,678,678,149,149,success,maven_returncode=0; tests_selected=87
gofabian_junit-fixture-extension,kex,41.11,25.81,66,106,127,225,38,75,success,maven_returncode=0; tests_selected=94
GSMgeeth_medium-coffeeshop-sample,kex,47.56,13.33,41,87,94,208,27,72,success,maven_returncode=0; tests_selected=76
GuillaumeFalourd_java-training-api,kex,61.65,37.5,10,28,15,44,4,20,success,maven_returncode=0; tests_selected=36
hamitmizrak_SpringMvcSpringDataSpringRest,kex,35.74,14.89,241,437,452,612,122,306,success,maven_returncode=0; tests_selected=427
hannotify_eleven-crazy-java-things,kex,90.77,50.0,7,53,13,95,4,49,success,maven_returncode=0; tests_selected=100
hhimanshu_spring-boot-liquibase,kex,84.44,0,2,17,2,31,2,17,success,maven_returncode=0; tests_selected=30
iainporter_spring-file-poller,kex,93.24,0,2,23,0,55,2,23,success,maven_returncode=0; tests_selected=20
IBM_ibm-ix-aem-sonarqube-plugin,kex,43.81,0.0,387,392,683,1075,184,189,success,maven_returncode=0; tests_selected=26
itsecurityco_CVE-2022-22965,kex,66.13,0,3,10,8,25,3,10,success,maven_returncode=0; tests_selected=16
ivanjakimovski_spring-boot-pdf-generator,kex,17.35,0,2,6,23,30,2,6,success,maven_returncode=0; tests_selected=8
iwamih31_AccountBook,kex,49.52,19.87,372,554,1200,1615,170,312,success,maven_returncode=0; tests_selected=287
jckleiner_notion-backup,kex,18.2,13.53,122,173,358,405,45,88,success,maven_returncode=0; tests_selected=91
jeonjeunghoon_Kculter,kex,37.85,8.48,149,441,656,1369,71,358,success,maven_returncode=0; tests_selected=692
juliengalet_reactor-flow,kex,,,,,,,,,no_jacoco_csv,"maven_returncode=1; tests_selected=311 |  build could not read 1 project -> [Help 1] [ERROR]    [ERROR]   The project io.github.juliengalet:reactor-flow:1.2.1-SNAPSHOT (/app/pom.xml) has 1 error [ERROR]     Malformed POM /app/pom.xml: Unrecognised tag: 'executions' (position: START_TAG seen ...</version>\n    <executions>... @267:17)  @ /app/pom.xml, line 267, column 17 -> [Help 2] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException [ERROR] [Help 2] http://cwiki.apache.org/confluence/display/MAVEN/ModelParseException "
Katibat_java-filmorate,kex,38.75,23.02,177,330,262,425,68,204,success,maven_returncode=0; tests_selected=305
kousen_questjpa,kex,81.19,28.33,34,145,18,216,8,115,success,maven_returncode=0; tests_selected=220
kriscfoster_spring-boot-testing-pyramid,kex,100.0,0,0,6,0,9,0,6,success,maven_returncode=0; tests_selected=14
kymotz_mdkiller,kex,43.42,28.24,127,216,166,356,9,81,success,maven_returncode=0; tests_selected=110
kyungseo_project-web-starter,kex,41.1,32.64,1533,2759,3409,5602,812,1835,success,maven_returncode=0; tests_selected=2055
Le36_chip36,kex,75.29,42.35,187,380,317,889,13,162,success,maven_returncode=0; tests_selected=792
leanstacks_skeleton-ws-spring-boot,kex,0.0,0.0,186,186,477,477,162,162,success,maven_returncode=0; tests_selected=282
liuhongdi_ratelimiter,kex,0.0,0.0,54,54,134,134,50,50,success,maven_returncode=0; tests_selected=86
lyubenblagoev_postfix-rest-server,kex,28.78,0.59,292,531,661,1106,207,446,success,maven_returncode=0; tests_selected=493
mariamihai_spring-security-amigoscode-tutorial,kex,60.48,0.0,23,73,77,191,21,71,success,maven_returncode=0; tests_selected=74
markbdsouza_hateoas-with-pagination,kex,24.15,0.0,22,36,36,56,20,34,success,maven_returncode=0; tests_selected=24
martinachov_hexagonal-architecture-ddd-springboot,kex,76.67,0.0,8,79,18,65,7,78,success,maven_returncode=0; tests_selected=136
max-jang_korea-music-chart-api,kex,0.0,0.0,203,203,312,312,115,115,success,maven_returncode=0; tests_selected=178
MikeAScott_spring-todo-list,kex,0.0,0.0,35,35,76,76,34,34,success,maven_returncode=0; tests_selected=57
moacirrf_nb-java-decompiler,kex,18.85,11.9,54,66,97,121,34,45,success,maven_returncode=0; tests_selected=26
mohaghighi_Covid19-Web-Application,kex,,,,,,,,,no_jacoco_csv,"maven_returncode=1; tests_selected=182 | -------------------------------------- [ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:3.0.0-M7:test (default-test) on project covid-19: Execution default-test of goal org.apache.maven.plugins:maven-surefire-plugin:3.0.0-M7:test failed: org.junit.platform.commons.JUnitException: TestEngine with ID 'junit-vintage' failed to discover tests: Failed to parse version of junit:junit: 4.13.2 -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/PluginExecutionException "
Mozenn_spring-boot-hibernate-search,kex,42.34,23.68,46,91,48,87,15,53,success,maven_returncode=0; tests_selected=76
Mozenn_spring-boot-keycloak,kex,44.95,25.0,30,55,33,57,11,31,success,maven_returncode=0; tests_selected=58
nikoo28_java-solutions,kex,0.0,0.0,2668,2668,6110,6110,933,933,timeout_with_partial_coverage,maven_timeout
nishihatapalmer_TreeTable,kex,29.07,16.41,719,1006,1401,2092,225,477,success,maven_returncode=0; tests_selected=825
nscuro_bradamsa-ng,kex,28.64,14.58,61,99,167,245,38,75,success,maven_returncode=0; tests_selected=89
nuriofernandez_ReflectedEventHandler,kex,53.46,19.23,40,85,58,130,16,59,success,maven_returncode=0; tests_selected=114
olein_Java-AWS-RnD,kex,36.53,0.0,20,47,75,125,18,45,success,maven_returncode=0; tests_selected=46
OmarAlHaj24_OnDriver,kex,57.12,30.25,129,261,210,572,17,142,success,maven_returncode=0; tests_selected=313
Online-Job-Portal-CG_Backend,kex,44.39,0.0,192,582,491,1237,122,512,success,maven_returncode=0; tests_selected=814
openapi-json-schema-tools_openapi-json-schema-generator,kex,0.0,0.0,6525,6525,15651,15651,2078,2078,success,maven_returncode=0; tests_selected=1278
piinalpin_springboot-jpa-specification,kex,59.6,23.46,88,219,62,144,20,138,success,maven_returncode=0; tests_selected=228
Pradyuman7_Algorithmics,kex,71.9,60.9,45,121,59,233,0,43,success,maven_returncode=0; tests_selected=86
