project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
nishihatapalmer_TreeTable,kex+evosuite,54.18,42.13,526,1006,901,2092,170,477,success,maven_returncode=0
nscuro_bradamsa-ng,kex+evosuite,64.37,43.75,28,99,73,245,12,75,success,maven_returncode=0
nuriofernandez_ReflectedEventHandler,kex+evosuite,69.25,40.38,28,85,35,130,8,59,success,maven_returncode=0
olein_Java-AWS-RnD,kex+evosuite,62.36,0.0,12,47,50,125,10,45,success,maven_returncode=0
OmarAlHaj24_OnDriver,kex+evosuite,84.38,65.55,60,261,92,572,2,142,success,maven_returncode=0
Online-Job-Portal-CG_Backend,kex+evosuite,46.94,10.0,174,582,467,1237,111,512,success,maven_returncode=0
openapi-json-schema-tools_openapi-json-schema-generator,kex+evosuite,0.0,0.0,6525,6525,15651,15651,2078,2078,success,maven_returncode=0
piinalpin_springboot-jpa-specification,kex+evosuite,85.41,88.27,23,219,37,144,8,138,success,maven_returncode=0
Pradyuman7_Algorithmics,kex+evosuite,99.84,98.08,3,121,1,233,0,43,success,maven_returncode=0
puzpuzpuz_java-concurrency-samples,kex+evosuite,93.41,76.79,11,109,19,218,0,81,success,maven_returncode=0
raffoulRicardo_movimento-qa-2023,kex+evosuite,78.8,60.71,21,84,6,43,3,42,success,maven_returncode=0
rahul26021999_QrCode-JavaSpringBoot,kex+evosuite,62.75,0,1,9,18,34,1,9,success,maven_returncode=0
raviyasas_sample-room,kex+evosuite,56.56,26.09,31,64,21,62,13,41,success,maven_returncode=0
rmondejar_spring-boot-junit5-example,kex+evosuite,62.5,25.81,66,197,51,124,16,135,success,maven_returncode=0
RTBHOUSE_kafka-workers,kex+evosuite,18.21,15.33,644,858,1572,2008,322,509,success,maven_returncode=0
s1ck_gdl,kex+evosuite,71.9,48.47,220,790,456,1724,29,517,success,maven_returncode=0
sashinpivotal_spring-boot-tdd,kex+evosuite,67.07,87.5,8,37,21,61,6,21,success,maven_returncode=0
sayan-d99_Spring-Security-JWT-Authentication,kex+evosuite,46.55,0.0,14,41,45,89,7,34,success,maven_returncode=0
schauder_talk-beyond,kex+evosuite,65.86,0.0,14,41,32,96,13,40,success,maven_returncode=0
SelimHorri_embedded-mongo-playing-with-spring-boot,kex+evosuite,48.76,26.47,41,91,45,64,14,57,success,maven_returncode=0
SelimHorri_hr-management-system,kex+evosuite,51.37,0.0,65,172,145,372,57,164,success,maven_returncode=0
simplyi_NewSpringAuthorizationServer,kex+evosuite,84.57,0.0,3,18,7,54,2,17,success,maven_returncode=0
souris-dev_samosac-jvm,kex+evosuite,30.63,17.31,1411,2266,3546,5055,583,1330,success,maven_returncode=0
strategyengine_fsedistributionservice,kex+evosuite,42.44,21.85,1644,3104,2241,2918,325,1475,success,maven_returncode=0
supaldubey_blog-server,kex+evosuite,62.53,35.77,212,608,498,1489,161,538,success,maven_returncode=0
syqu22_spring-boot-shop-sample,kex+evosuite,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0
szerhusenBC_jwt-spring-security-demo,kex+evosuite,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0
tuomount_Open-Realms-of-Stars,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | could not read 1 project -> [Help 1] [ERROR]    [ERROR]   The project org.openRealmOfStars:Open-Realm-of-Stars:0.28.2-SNAPSHOT (/app/pom.xml) has 1 error [ERROR]     Malformed POM /app/pom.xml: Unrecognised tag: 'executions' (position: START_TAG seen ...</version>\n    <executions>... @217:17)  @ /app/pom.xml, line 217, column 17 -> [Help 2] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException [ERROR] [Help 2] http://cwiki.apache.org/confluence/display/MAVEN/ModelParseException "
Victor-Borisov_java-filmorate,kex+evosuite,43.61,23.36,198,389,224,332,96,267,success,maven_returncode=0
wdrammeh_utg-student-dashboard,kex+evosuite,22.24,9.43,1943,2621,6957,8969,849,1482,success,maven_returncode=0
WoMakersCode_bootcamp-java-starwars-restapi,kex+evosuite,40.0,0.0,12,37,50,101,9,34,success,maven_returncode=0
Xpectuer_miniJuliaSonar,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | -04-09T12:38:59Z [INFO] ------------------------------------------------------------------------ [ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.12.4:test (default-test) on project miniJuliaSonar: Execution default-test of goal org.apache.maven.plugins:maven-surefire-plugin:2.12.4:test failed: The forked VM terminated without saying properly goodbye. VM crash or System.exit called ? -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/PluginExecutionException "
