project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
ErgunAhmet_DataJpaYt,native+kex+evosuite,43.932,25.728,242,447,241,407,74,241,success,maven_returncode=0,1077,1.077
fatihhernn_spring-boot-ecommerce,native+kex+evosuite,91.432,82.727,13,117,0,53,2,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,native+kex+evosuite,50.247,0.0,74,241,268,634,57,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,native+kex+evosuite,32.676,23.597,483,864,2098,3110,159,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,native+kex+evosuite,43.951,33.333,89,189,212,371,75,171,success,maven_returncode=0,604,0.604
francoiducat_springboot-minimal-graphql-client,native+kex+evosuite,91.503,0,0,23,4,41,0,23,success,maven_returncode=0,94,0.094
gabrieldim_CSV-Export-Spring-Boot,native+kex+evosuite,51.333,100.0,3,17,12,42,3,16,success,maven_returncode=0,102,0.102
gabrieldim_Email-Sender-Spring-Boot,native+kex+evosuite,72.222,0,1,6,5,20,1,6,success,maven_returncode=0,47,0.047
gabrieldim_PDF-Generator-Spring-Boot,native+kex+evosuite,91.753,0,0,6,4,30,0,6,success,maven_returncode=0,62,0.062
gavinklfong_spring-investment-platform,native+kex+evosuite,73.707,31.86,168,451,4,148,3,236,success,maven_returncode=0,342,0.342
GCS-ZHN_movie-on-server,native+kex+evosuite,12.467,7.857,260,292,582,678,120,149,success,maven_returncode=0,1345,1.345
GSMgeeth_medium-coffeeshop-sample,native+kex+evosuite,53.633,20.0,34,87,77,208,21,72,success,maven_returncode=0,518,0.518
GuillaumeFalourd_java-training-api,native+kex+evosuite,61.654,37.5,10,28,15,44,4,20,success,maven_returncode=0,132,0.132
hamitmizrak_AllSpringBlogProject,native+kex+evosuite,42.477,21.429,111,215,106,194,49,138,success,maven_returncode=0,586,0.586
hamitmizrak_SpringMvcSpringDataSpringRest,native+kex+evosuite,34.139,14.885,226,437,458,612,107,306,success,maven_returncode=0,1425,1.425
hannotify_eleven-crazy-java-things,native+kex+evosuite,95.641,100.0,3,53,6,95,3,49,success,maven_returncode=0,249,0.249
hhimanshu_spring-boot-liquibase,native+kex+evosuite,100.0,0,0,17,0,31,0,17,success,maven_returncode=0,135,0.135
innoq_cookie-based-session-springboot-app,native+kex+evosuite,74.069,55.882,20,76,54,194,11,59,success,maven_returncode=0,431,0.431
itsecurityco_CVE-2022-22965,native+kex+evosuite,70.968,0,2,10,7,25,2,10,success,maven_returncode=0,54,0.054
ivanjakimovski_spring-boot-pdf-generator,native+kex+evosuite,91.837,0,0,6,4,30,0,6,success,maven_returncode=0,60,0.06
iwamih31_AccountBook,native+kex+evosuite,0.0,0.0,554,554,1615,1615,312,312,success,maven_returncode=0,2688,2.688
janlely_jparser,native+kex+evosuite,91.992,81.818,102,854,74,1096,41,609,success,maven_returncode=0,1901,1.901
jeonjeunghoon_Kculter,native+kex+evosuite,40.061,13.939,135,441,632,1369,62,358,success,maven_returncode=0,2771,2.771
