project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
itsecurityco_CVE-2022-22965,native,9.68,0,8,10,23,25,8,10,success,maven_returncode=0,54,0.054
ivanjakimovski_spring-boot-pdf-generator,native,12.24,0,3,6,25,30,3,6,success,maven_returncode=0,60,0.06
iwamih31_AccountBook,native,0.27,0.0,545,554,1606,1615,303,312,success,maven_returncode=0,2688,2.688
janlely_jparser,native,69.82,41.32,334,854,217,1096,167,609,success,maven_returncode=0,1901,1.901
jeonjeunghoon_Kculter,native,3.05,7.27,421,441,1329,1369,344,358,success,maven_returncode=0,2771,2.771
jonashackt_spring-boot-buildpack,native,88.1,0,1,8,2,13,1,8,success,maven_returncode=0,41,0.041
jsalonl_interceptor-springboot,native,93.91,75.0,6,102,0,112,4,98,success,maven_returncode=0,314,0.314
juliengalet_reactor-flow,native,99.5,96.88,12,386,7,800,7,305,success,maven_returncode=0,1956,1.956
kanajin_Aqua-docker,native,5.99,0.0,16486,17257,10793,12974,9214,9985,success,maven_returncode=0,27852,27.852
Katibat_java-filmorate,native,48.6,18.25,215,330,179,425,90,204,success,maven_returncode=0,1082,1.082
kiberohrannik_webflux-log,native,92.7,93.24,19,192,31,397,14,155,success,maven_returncode=0,1027,1.027
kousen_questjpa,native,52.91,1.67,81,145,91,216,51,115,success,maven_returncode=0,615,0.615
koushikkothagal_ipl-dashboard,native,90.27,90.0,12,108,19,214,11,103,success,maven_returncode=0,527,0.527
koushikkothagal_spring-boot-security,native,0.0,0,10,10,24,24,10,10,success,maven_returncode=0,61,0.061
kriscfoster_spring-boot-testing-pyramid,native,83.87,0,1,6,2,9,1,6,success,maven_returncode=0,33,0.033
kyungseo_project-web-starter,native,16.75,2.47,2494,2759,4665,5602,1574,1835,success,maven_returncode=0,12472,12.472
liuhongdi_ratelimiter,native,10.3,0.0,45,54,118,134,41,50,success,maven_returncode=0,315,0.315
lyubenblagoev_postfix-rest-server,native,28.93,13.53,395,531,740,1106,314,446,success,maven_returncode=0,2770,2.77
maciejwalkowiak_paseq-maven-plugin,native,86.74,78.0,14,62,20,120,4,37,success,maven_returncode=0,246,0.246
mariamihai_spring-security-amigoscode-tutorial,native,48.74,0.0,45,73,106,191,43,71,success,maven_returncode=0,515,0.515
markbdsouza_hateoas-with-pagination,native,8.21,0.0,31,36,50,56,29,34,success,maven_returncode=0,207,0.207
martinachov_hexagonal-architecture-ddd-springboot,native,0.65,0.0,78,79,64,65,77,78,success,maven_returncode=0,237,0.237
max-jang_korea-music-chart-api,native,5.96,0.0,191,203,283,312,103,115,success,maven_returncode=0,594,0.594
meteergin_medium-java-streams,native,0.5,0.0,57,58,101,102,36,37,success,maven_returncode=0,144,0.144
micw_tibber-pulse-reader,native,65.73,52.08,198,372,381,866,90,190,success,maven_returncode=0,1727,1.727
MikeAScott_spring-todo-list,native,4.01,0.0,31,35,72,76,30,34,success,maven_returncode=0,193,0.193
milpol_gorilla4j,native,90.57,86.0,17,94,19,251,4,44,success,maven_returncode=0,501,0.501
mmarcosab_rabbitmq-example,native,38.02,0.0,7,17,20,32,5,15,success,maven_returncode=0,113,0.113
mohaghighi_Covid19-Web-Application,native,43.96,60.0,84,117,159,265,76,97,success,maven_returncode=0,610,0.61
Mozenn_spring-boot-hibernate-search,native,28.97,0.0,75,91,46,87,37,53,success,maven_returncode=0,260,0.26
MrGraversen_minecraft-rcon,native,19.89,21.1,328,433,793,1035,281,378,success,maven_returncode=0,2483,2.483
MSmirnov2407_Filmorate,native,33.65,7.95,135,194,357,558,92,150,success,maven_returncode=0,1256,1.256
NO-ob_LoliSnatcher,native,0.0,0.0,310,310,1087,1087,130,130,success,maven_returncode=0,1770,1.77
olein_Java-AWS-RnD,native,3.56,0.0,42,47,120,125,40,45,success,maven_returncode=0,276,0.276
OmarAlHaj24_OnDriver,native,3.08,0.84,251,261,551,572,133,142,success,maven_returncode=0,1155,1.155
Online-Job-Portal-CG_Backend,native,0.0,0.0,582,582,1237,1237,512,512,success,maven_returncode=0,3678,3.678
ozifirebrand_printHia,native,40.42,14.62,284,487,13,290,52,227,success,maven_returncode=0,724,0.724
paneladev_agenda-service,native,40.36,7.69,153,260,130,257,104,208,success,maven_returncode=0,800,0.8
ProgrammerZamanNow_belajar-jenkins-pipeline,native,50.75,11.29,110,246,39,224,55,184,success,maven_returncode=0,822,0.822
ProgrammerZamanNow_belajar-spring-dasar,native,50.75,11.29,110,246,39,224,55,184,success,maven_returncode=0,822,0.822
raffoulRicardo_movimento-qa-2023,native,2.25,0.0,81,84,38,43,39,42,success,maven_returncode=0,110,0.11
