project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
raviyasas_sample-room,kex+evosuite,56.561,26.087,31,64,21,62,13,41,success,maven_returncode=0,186,0.186
reactive-learning-io_spring-boot-reactive-webclient,kex+evosuite,46.53,83.333,42,105,94,143,35,72,success,maven_returncode=0,342,0.342
rmondejar_spring-boot-junit5-example,kex+evosuite,59.955,25.806,72,197,64,124,22,135,success,maven_returncode=0,402,0.402
saiGou-14H_FaceSystem,kex+evosuite,0.0,0.0,1216,1216,1701,1701,647,647,success,maven_returncode=0,3815,3.815
sashinpivotal_spring-boot-tdd,kex+evosuite,67.068,87.5,8,37,21,61,6,21,success,maven_returncode=0,154,0.154
schauder_talk-beyond,kex+evosuite,68.58,0.0,13,41,30,96,12,40,success,maven_returncode=0,342,0.342
SelimHorri_elastic-boot,kex+evosuite,59.736,28.571,17,46,9,27,6,32,success,maven_returncode=0,131,0.131
SelimHorri_embedded-mongo-playing-with-spring-boot,kex+evosuite,48.755,26.471,41,91,45,64,14,57,success,maven_returncode=0,201,0.201
SelimHorri_hr-management-system,kex+evosuite,51.374,0.0,65,172,145,372,57,164,success,maven_returncode=0,1168,1.168
simplyi_NewSpringAuthorizationServer,kex+evosuite,84.571,0.0,3,18,7,54,2,17,success,maven_returncode=0,141,0.141
smartup-tech_Time-Tracker,kex+evosuite,54.772,32.341,1470,3403,1533,2997,371,1925,success,maven_returncode=0,7609,7.609
sofieneBK_Hands-on-ci-cd-for-springboot-apps,kex+evosuite,68.932,50.0,2,9,8,26,0,7,success,maven_returncode=0,55,0.055
souris-dev_samosac-jvm,kex+evosuite,33.067,19.4,1347,2266,3408,5055,544,1330,success,maven_returncode=0,2798,2.798
strategyengine_fsedistributionservice,kex+evosuite,42.108,21.635,1648,3104,2268,2918,328,1475,success,maven_returncode=0,6326,6.326
supaldubey_blog-server,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | java:[15,28] package org.evosuite.runtime does not exist [ERROR] /app/src/test/java/evosuite-tests/in/cubestack/apps/blog/event/service/AnalyticsGeneratorService_ESTest.java:[16,28] package org.evosuite.runtime does not exist [ERROR] /app/src/test/java/evosuite-tests/in/cubestack/apps/blog/event/service/AnalyticsGeneratorService_ESTest.java:[19,28] cannot find symbol [ERROR]   symbol: class EvoRunnerParameters [ERROR] -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException ",3512,3.512
syqu22_spring-boot-shop-sample,kex+evosuite,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0,935,0.935
SysObligatoriskOpgave22_BackendWebApp,kex+evosuite,90.997,20.0,24,113,7,135,1,88,success,maven_returncode=0,387,0.387
szerhusenBC_jwt-spring-security-demo,kex+evosuite,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0,685,0.685
ValentinaBuddha_java-filmorate,kex+evosuite,21.045,6.25,69,126,174,248,53,110,success,maven_returncode=0,849,0.849
Victor-Borisov_java-filmorate,kex+evosuite,43.293,22.951,199,389,227,332,97,267,success,maven_returncode=0,1008,1.008
wdrammeh_utg-student-dashboard,kex+evosuite,24.932,12.179,1866,2621,6721,8969,797,1482,success,maven_returncode=0,13380,13.38
WoMakersCode_bootcamp-java-starwars-restapi,kex+evosuite,40.0,0.0,12,37,50,101,9,34,success,maven_returncode=0,225,0.225
xxuzhengg_eastmoney,kex+evosuite,31.172,0.0,28,83,149,244,12,67,success,maven_returncode=0,545,0.545
yoandypv_todo-api,kex+evosuite,48.615,21.053,67,118,31,74,20,61,success,maven_returncode=0,225,0.225
Youngerjesus_refactoring-2nd-edition,kex+evosuite,88.761,73.333,66,692,90,1161,10,543,success,maven_returncode=0,2628,2.628
