project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
NO-ob_LoliSnatcher,native+evosuite,23.719,26.786,209,310,775,1087,67,130,success,maven_returncode=0,1770,1.77
olein_Java-AWS-RnD,native+evosuite,54.343,0.0,22,47,63,125,20,45,success,maven_returncode=0,276,0.276
OmarAlHaj24_OnDriver,native+evosuite,74.392,57.143,78,261,170,572,25,142,success,maven_returncode=0,1155,1.155
Online-Job-Portal-CG_Backend,native+evosuite,22.058,21.429,399,582,894,1237,344,512,success,maven_returncode=0,3678,3.678
ozifirebrand_printHia,native+evosuite,40.84,17.308,270,487,13,290,52,227,success,maven_returncode=0,724,0.724
paneladev_agenda-service,native+evosuite,68.244,52.885,71,260,85,257,45,208,success,maven_returncode=0,800,0.8
ProgrammerZamanNow_belajar-jenkins-pipeline,native+evosuite,96.922,94.355,12,246,8,224,5,184,success,maven_returncode=0,822,0.822
ProgrammerZamanNow_belajar-spring-dasar,native+evosuite,97.001,95.161,11,246,8,224,5,184,success,maven_returncode=0,822,0.822
raffoulRicardo_movimento-qa-2023,native+evosuite,51.22,48.81,41,84,23,43,19,42,success,maven_returncode=0,110,0.11
rahul26021999_QrCode-JavaSpringBoot,native+evosuite,59.477,0,2,9,20,34,2,9,success,maven_returncode=0,79,0.079
RaisaRS_java-filmorate,native+evosuite,17.783,12.5,104,165,312,406,83,141,success,maven_returncode=0,1144,1.144
raviyasas_sample-room,native+evosuite,23.077,0.0,53,64,32,62,30,41,success,maven_returncode=0,186,0.186
reactive-learning-io_spring-boot-reactive-webclient,native+evosuite,55.631,81.818,33,105,75,143,26,72,success,maven_returncode=0,342,0.342
rmondejar_spring-boot-junit5-example,native+evosuite,43.638,9.677,105,197,54,124,43,135,success,maven_returncode=0,402,0.402
saiGou-14H_FaceSystem,native+evosuite,0.0,0.0,1216,1216,1701,1701,647,647,success,maven_returncode=0,3815,3.815
sashinpivotal_spring-boot-tdd,native+evosuite,93.976,96.875,3,37,4,61,2,21,success,maven_returncode=0,154,0.154
schauder_talk-beyond,native+evosuite,90.937,50.0,7,41,12,96,6,40,success,maven_returncode=0,342,0.342
SelimHorri_elastic-boot,native+evosuite,12.871,0.0,38,46,18,27,24,32,success,maven_returncode=0,131,0.131
SelimHorri_embedded-mongo-playing-with-spring-boot,native+evosuite,3.514,0.0,87,91,60,64,53,57,success,maven_returncode=0,201,0.201
SelimHorri_hr-management-system,native+evosuite,27.863,0.0,124,172,256,372,116,164,success,maven_returncode=0,1168,1.168
simplyi_NewSpringAuthorizationServer,native+evosuite,81.714,0.0,4,18,9,54,3,17,success,maven_returncode=0,141,0.141
smartup-tech_Time-Tracker,native+evosuite,22.856,14.411,2639,3403,2045,2997,1347,1925,success,maven_returncode=0,7609,7.609
sofieneBK_Hands-on-ci-cd-for-springboot-apps,native+evosuite,100.0,100.0,0,9,0,26,0,7,success,maven_returncode=0,55,0.055
souris-dev_samosac-jvm,native+evosuite,32.446,18.552,1361,2266,3435,5055,554,1330,success,maven_returncode=0,2798,2.798
strategyengine_fsedistributionservice,native+evosuite,5.172,2.274,2945,3104,2707,2918,1346,1475,success,maven_returncode=0,6326,6.326
supaldubey_blog-server,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,3512,3.512
syqu22_spring-boot-shop-sample,native+evosuite,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0,935,0.935
SysObligatoriskOpgave22_BackendWebApp,native+evosuite,67.382,8.0,78,113,51,135,55,88,success,maven_returncode=0,387,0.387
szerhusenBC_jwt-spring-security-demo,native+evosuite,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0,685,0.685
ValentinaBuddha_java-filmorate,native+evosuite,12.068,6.25,95,126,208,248,80,110,success,maven_returncode=0,849,0.849
Victor-Borisov_java-filmorate,native+evosuite,5.52,0.0,374,389,301,332,252,267,success,maven_returncode=0,1008,1.008
wdrammeh_utg-student-dashboard,native+evosuite,3.989,2.923,2441,2621,8546,8969,1330,1482,success,maven_returncode=0,13380,13.38
WoMakersCode_bootcamp-java-starwars-restapi,native+evosuite,34.474,0.0,17,37,59,101,14,34,success,maven_returncode=0,225,0.225
xxuzhengg_eastmoney,native+evosuite,21.936,0.0,67,83,196,244,51,67,success,maven_returncode=0,545,0.545
yoandypv_todo-api,native+evosuite,10.831,0.0,108,118,52,74,51,61,success,maven_returncode=0,225,0.225
Youngerjesus_refactoring-2nd-edition,native+evosuite,51.954,57.193,325,692,544,1161,258,543,success,maven_returncode=0,2628,2.628
